Set,Card,Ungraded,Grade 9,PSA 10,Scrape Date
Pokemon Promo,Pikachu with Grey Felt Hat #85,$965.74,"$1,005.50","$3,044.00",2026-06-11
Pokemon Promo,Mega Charizard X EX #23,$45.86,$64.00,$290.50,2026-06-11
Pokemon Promo,Ancient Mew,$98.89,$270.00,"$2,805.71",2026-06-11
Pokemon Promo,Bulbasaur #37,$36.89,$88.92,$535.01,2026-06-11
Pokemon Promo,N's Zekrom #31,$10.50,$45.00,$520.28,2026-06-11
Pokemon Promo,Charmander #44,$70.00,$117.19,$669.11,2026-06-11
Pokemon Promo,Charizard VStar #SWSH262,$87.33,$140.00,"$1,500.00",2026-06-11
Pokemon Promo,Eevee #173,$14.78,$26.99,$149.26,2026-06-11
Pokemon Promo,Mew ex #53,$80.00,$126.51,$874.00,2026-06-11
Pokemon Promo,Charmander #38,$45.70,$116.94,$560.00,2026-06-11
Pokemon Promo,Moltres & Zapdos & Articuno GX #SM210,$159.50,$169.25,$448.40,2026-06-11
Pokemon Promo,First Partner Illustration Collection: Series 1,$60.34,,,2026-06-11
Pokemon Promo,Snorlax #51,$25.00,$48.00,$300.00,2026-06-11
Pokemon Promo,Mewtwo #52,$51.23,$91.82,$635.00,2026-06-11
Pokemon Promo,Lucario VSTAR #SWSH291,$16.20,$26.07,$157.51,2026-06-11
Pokemon Promo,Charizard V #SWSH260,$44.84,$66.19,$651.55,2026-06-11
Pokemon Promo,Oricorio EX #24,$14.00,$26.42,$137.75,2026-06-11
Pokemon Promo,Charizard VMax #SWSH261,$40.48,$67.50,$585.63,2026-06-11
Pokemon Promo,Greninja Ex #132,$101.95,$120.00,$513.73,2026-06-11
Pokemon Promo,Fennekin #80,$6.88,,,2026-06-11
Pokemon Promo,Eevee Ex #174,$29.88,$40.00,$400.50,2026-06-11
Pokemon Promo,Squirtle #39,$29.99,$81.00,$520.00,2026-06-11
Pokemon Promo,Mega Lucario EX #33,$20.65,$66.50,$329.13,2026-06-11
Pokemon Promo,Pikachu EX #XY124,$244.73,"$2,423.19","$8,277.71",2026-06-11
Pokemon Promo,Tyrunt #70,$5.00,$26.85,,2026-06-11
Pokemon Promo,Mewtwo & Mew GX #SM191,$300.00,$466.33,"$1,830.00",2026-06-11
Pokemon Promo,Pikachu [Paldea] #27,$25.50,$45.99,$250.00,2026-06-11
Pokemon Promo,Mimikyu #75,$18.44,$31.59,$141.25,2026-06-11
Pokemon Promo,Pikachu & Zekrom GX #SM168,$166.50,$336.11,"$2,000.00",2026-06-11
Pokemon Promo,Umbreon & Darkrai GX #SM241,$223.31,$439.53,"$5,947.63",2026-06-11
Pokemon Promo,Umbreon Ex #176,$41.95,$54.50,$267.00,2026-06-11
Pokemon Promo,Kingdra Ex #131,$95.74,$119.00,$432.50,2026-06-11
Pokemon Promo,Haunter #27,$53.38,$90.00,"$1,738.37",2026-06-11
Pokemon Promo,Magneton #159,$10.25,$24.03,$146.25,2026-06-11
Pokemon Promo,Charizard ex #56,$15.00,$37.99,$161.25,2026-06-11
Pokemon Promo,Victini #208,$14.74,$21.48,$250.00,2026-06-11
Pokemon Promo,Entei #34,$9.78,$74.27,"$1,100.00",2026-06-11
Pokemon Promo,Mega Gardevior EX #32,$16.29,$43.00,$249.25,2026-06-11
Pokemon Promo,Charizard V #SWSH050,$13.75,$31.69,$92.00,2026-06-11
Pokemon Promo,Mew #8,$7.67,$38.60,$340.00,2026-06-11
Pokemon Promo,N's Zekrom [Pokemon Center] #31,$124.24,$102.52,"$4,694.04",2026-06-11
Pokemon Promo,Piplup #42,$14.50,$35.71,$290.00,2026-06-11
Pokemon Promo,Mega Charizard X Ex #29,$6.97,$32.97,$280.00,2026-06-11
Pokemon Promo,Pikachu #88,$25.49,$44.99,$275.00,2026-06-11
Pokemon Promo,Eevee VMAX #SWSH087,$5.08,$19.77,$61.93,2026-06-11
Pokemon Promo,Dragonite #5,$38.74,$209.54,"$1,887.50",2026-06-11
Pokemon Promo,Armored Mewtwo #SM228,$156.15,$761.94,"$8,275.50",2026-06-11
Pokemon Promo,Pikachu & Zekrom GX #SM248,$34.54,$60.00,$304.37,2026-06-11
Pokemon Promo,Mega Charizard Y Ex #30,$6.95,$39.99,$332.00,2026-06-11
Pokemon Promo,Charizard EX #XY121,$108.84,$599.50,"$5,500.00",2026-06-11
Pokemon Promo,Charcadet #22,$3.66,$18.99,$181.83,2026-06-11
Pokemon Promo,Tyrunt [Pokemon Center] #70,$50.00,,,2026-06-11
Pokemon Promo,Mega Gengar EX #XY166,$109.37,$840.00,"$5,998.00",2026-06-11
Pokemon Promo,Special Delivery Charizard #SWSH075,$200.00,$303.38,"$2,254.02",2026-06-11
